"name","latitude","longitude","RestaurantsDelivery","WiFi","WheelchairAccessible","HappyHour","total_comments","average_rating"
"Buffalo Billiards",39.94819,-75.1433,"","","","",243,3.5
"Buffalo Wild Wings",40.082758811,-75.025806427,"True","u'free'","True","True",162,2.5
"BurgerFi",39.9535213,-75.1597442,"","","","",523,3
"Butcher and Singer",39.9493338,-75.1661758,"","","","",1330,4.5
"Byrne's Tavern",39.9841717,-75.0987438,"","","","",120,4
"CIBO Bistro Wine Bar",39.875016,-75.243913,"","","","",130,3
"CJ & Eck's",40.025409,-75.212968,"False","u'free'","True","True",52,4
"CO-OP Restaurant & Lounge",39.9544058,-75.1900591,"","","","",129,3.5
"CYM Island Kitchen",40.0196839,-75.1107755,"True","u'free'","True","True",15,3.5
"Cafe La Maude",39.963948,-75.144364,"","","","",1530,4.5
"Cafe Lift",39.960346,-75.159706,"","","","",1225,4
"Cafe Tinto",40.02154,-75.122587,"","","","",19,4.5
"Caffe Chicco",39.918636,-75.171153,"","u'no'","False","",28,4.5
"Cajun Heroes Seafood Boil Gumbo & Po’Boys",39.9412059,-75.1468728,"","","","",81,4
"Cake",40.076318,-75.206295,"","","","",257,4
"Callahan's Grille",39.9460707,-75.1837898,"True","u'free'","True","False",36,4
"Calle Del Sabor",39.968711,-75.135957,"","","","",73,4.5
"Campbell's Place",40.0751627,-75.2044998,"","","","",173,3.5
"Canopy by Hilton Philadelphia Center City",39.9509385644,-75.1599574301,"","","","",35,4.5
"Cappys Cafe",40.0328076,-75.0482692,"","","","",22,4
"Capriccio Cafe and Bar",39.9554292,-75.1664549,"","","","",132,3.5
"Cavanaugh's Restaurant",39.9544307,-75.1999069,"","","","",123,3
"Cavanaugh's Rittenhouse",39.9511145,-75.17157,"True","'no'","True","",232,3.5
"Cavanaughs Headhouse",39.9422776,-75.1449611,"","","","",108,3.5
"Cedar Point Bar and Kitchen",39.9768423,-75.1277643,"","","","",334,4
"Champagne Cafe",40.036477,-75.1744883,"","","","",24,2.5
"Champ’s Diner",39.9792137,-75.1609908,"","","","",146,4
"Charley Dove",39.9482837212,-75.174552016,"","","","",16,4
"Charlie Was a Sinner",39.9495123,-75.1617661,"","","True","",1070,4
"Chart House",39.9411270506,-75.1404787123,"","","","",360,2.5
"Checkers",39.9178315,-75.1814532,"","u'free'","","",16,2
"Cherry Lounge",39.9560366,-75.1591747,"","","True","",11,3
"Chestnut Grill and Sidewalk Cafe",40.0741672,-75.2030982,"True","u'no'","","",178,3.5
"Chewy's Food Truck",39.9591692932,-75.1984187251,"","","","",95,4.5
"Chick-fil-A",39.9183356,-75.1405113,"","","","",116,4
"Chick-fil-A",39.952402,-75.168211,"","","","",67,3.5
"Chick-fil-A",40.08178,-75.0267907,"","","","",85,4
"Chickie's & Pete's",39.876011,-75.242965,"","","","",88,2.5
"Chickie's & Pete's",39.9063127802,-75.1657080966,"False","u'no'","","",28,3
"Chickie's & Pete's",39.9114175,-75.1745111,"True","u'free'","","",603,3.5
"Chickie's & Pete's",40.027319,-75.0600255,"","","","",116,3.5
"Chickie's & Pete's Cafe",40.1011515,-75.0081239,"","","","",229,3
"Chickie's and Pete's",39.8774228729,-75.2405207186,"","","","",798,2.5
"Chili's",39.9184477,-75.1874603,"","u'free'","True","",104,2.5
"Chili's",39.9532903753,-75.1610183611,"","","","",154,2
"Chili's",40.074768681,-75.1579621104,"","","","",92,1.5
"Chima Steakhouse",39.9547768017,-75.1726724432,"","","","",708,3.5
"Chix & Bowls",39.9524750756,-75.1735316558,"","","","True",145,4
"Chops Restaurant & Bar",39.954782,-75.168476,"","","","",99,3
"City Tap House",39.9557454576,-75.1698437,"","","","",508,4
"City Winery - Philadelphia",39.952533,-75.1562439278,"","u'free'","True","",149,2.5
"Clementines Stable Cafe",39.964545,-75.1607530281,"","","","",92,4
"Coins Restaurant and Pub",39.9520404,-75.147515,"False","u'free'","","",12,2
"Colombian Bakery",40.0270908616,-75.1327757719,"","","","",16,4.5
"Community",39.9375696,-75.17882,"","","","",44,4.5
"Cook and Shaker",39.9826256,-75.1205402,"","","","",183,4.5
"Copabanana",39.9415037,-75.1489862,"","","","",307,2.5
"Copabanana",39.9515586,-75.2032578,"False","'free'","True","False",342,3
"Corner Bakery",39.95365,-75.168465,"","","","",153,3
"Cosi",39.9810059401,-75.157750994,"","","","",27,2
"Costa's Pizza & Grill",40.119547,-75.0181479,"True","u'no'","True","",17,2.5
"Country Club Diner",40.0540854,-75.0704686,"","","","",93,3
"Craft Hall",39.9625821,-75.1356571,"","u'free'","True","",66,3.5
"Craft Manayunk",40.0230319381,-75.2190360036,"","","True","",99,3.5
"Crafty's Tap Room",40.0682106059,-75.0063144735,"","","","",36,4
"Crown Fried Chicken",39.9569121,-75.2022626,"","","","",41,4
"Crown Fried Chicken",39.9619616,-75.1558838,"","","","",15,2.5
"Cuba Libre Restaurant & Rum Bar - Philadelphia",39.949589,-75.14391,"","","","",1225,3.5
"Currito",39.874423,-75.247136,"True","u'free'","True","True",126,3.5
"Daiva's Grille",40.0413479,-75.2255195,"","","","",97,3.5
"Danny's Wok",40.038394,-75.119522,"","","","",21,3.5
"Dave & Buster's",39.9570239499,-75.1374835117,"","","","",525,2.5
"Dave & Buster's",40.0917381094,-74.9609848045,"True","u'free'","True","",188,2
"Day By Day",39.9516785914,-75.1757079913,"","","","",672,4
"Del Frisco's Double Eagle Steakhouse",39.9509564,-75.1654591,"","","","",1169,4
"Devil's Alley Bar & Grille",39.95214,-75.1722162,"","","","",849,3.5
"Devil's Den",39.9358085,-75.1620574,"","u'free'","","",489,3.5
"Di Bruno Bros.",39.9491548072,-75.1555580299,"","","","",109,4
"Di Bruno Bros.",39.951311,-75.1700653,"","","","",574,4
"Dig",39.951201755,-75.1680316,"","","","",98,4.5
"Dock Street Brewery",39.9477306374,-75.2227761947,"","","","",568,4
"Dock Street Brewery South",39.9391831963,-75.1792988554,"True","","True","",100,3.5
"Doliva Evoo Pizza & Grill ",39.9672300847,-75.1409808273,"","","","",84,4.5
"Dorsey's",39.8730203,-75.2747937,"","","","",13,2.5
"Down Home Diner",39.9530183899,-75.1594000959,"","","","",366,3
"Earth Bread + Brewery",40.059176,-75.1904467,"","u'free'","","",397,4
"East Coast Wings & Grill",39.99391726,-75.09156534,"True","","","",120,3.5
"El Bochinche Restaurante",40.0269917,-75.1328407,"","","","",15,2.5
"El Merkury",39.952185,-75.1758693,"","","","",166,4.5
"El Merkury at the Market",39.9531912919,-75.1594065875,"","","","",10,4.5
"El Principe Restaurant",39.9910614002,-75.1315125497,"","","","",25,3.5
"El Provocon",40.0426716777,-75.0743865967,"","","","",30,2.5
"Elwood",39.9664035366,-75.1342273504,"","","","",39,5
"Ember & Ash",39.9305753,-75.1629063,"","","","",35,4.5
"Entree BYOB",39.9440110213,-75.1691403878,"","","","",418,4.5
"Fabio's Chicken Restaurant Takeout",40.0232879,-75.1237642,"","u'free'","True","",15,4.5
"Fare",39.967061,-75.171243,"","","","",471,3.5
"Fat Shack",39.9661569,-75.1910622,"","","","",12,4
"Fat Tuesday",39.941876,-75.150251,"","","","",199,2.5
"Favors",39.9991314,-75.1710343,"","","","",25,2
"Federal Donuts",39.932223,-75.147463,"","","","",556,4
"Felly Bistro On Pass",39.938816,-75.152367,"","","","",55,4.5
"Finn McCool's Ale House",39.949742,-75.160578,"","","","",163,3.5
"Fiore Fine Foods",39.938608,-75.144302,"","","","",92,4.5
"Fiore's Steaks and Shakes",39.9850526012,-75.1242153221,"","","","",64,3.5
"Fireside Tavern",39.9150109943,-75.1585558434,"","","","",10,3.5
"Fishtown Diner",39.9774533,-75.1245282,"","","","",234,3
"Fitz and Starts",39.939060062,-75.1495900378,"","","","",31,4.5
"Five Guys",39.9512973,-75.1665774,"","","","",211,3.5
"Five Guys",40.0791890292,-75.0266629492,"","","","",55,3.5
"Flannel",39.9272227151,-75.1663260162,"","","","",118,4.5
"Flip-N-Pizza",39.9707196889,-75.1577516645,"","","","",17,4
"Foods On First",39.954879,-75.1644704,"False","u'no'","True","",98,3.5
"Foose Grill",39.948015,-75.227058,"True","'free'","","",12,4.5
"For Pete's Sake",39.9354888,-75.1454078,"","","","",193,4
"Fork",39.9500007,-75.146124,"","","","",656,4
"Forsythia",39.9487067926,-75.145394057,"","","","",127,4.5
"Founding Fathers Sports Bar & Grill",39.9439544,-75.1692787,"","u'free'","True","",178,3.5
"Frank's Spaghetti House",40.056184,-75.061858,"False","'free'","","",45,3.5
"Franklin's",40.0110062,-75.189062,"","u'free'","True","False",140,3.5
"Franky Bradley's",39.9485357745,-75.1630648523,"","","","",217,4
"Friday Saturday Sunday",39.948937,-75.1759543,"","","","",296,4.5
"Front Street Cafe",39.9702007,-75.1356343,"","","False","",746,4
"Fuel",39.9261735,-75.1675686,"","","","",281,3.5
"Gallo's Seafood",40.0577429,-75.0446413,"","","","",187,3.5
"Garden Restaurant",39.9605194,-75.1725901,"","","","",17,4.5
"Gaul & Co. Malthouse",39.986116,-75.1065394,"","","","",129,4.5
"George's Burgers, Steaks and Shakes",40.0377140603,-75.0387135521,"","","","",41,3
"George's Wings",40.0643044322,-74.9868814021,"","","","",53,3.5
"Germantown Biergarten",39.8946127289,-75.2292965411,"","","","",16,2.5
"Germantown Garden",39.966258,-75.1382568,"True","'free'","","",146,3
"Gigi & Big R",39.9698568,-75.2387222,"","","","",22,3
"Gigi Pizza",39.9408419,-75.1513065,"","","","",17,4
"Glory Beer Bar & Kitchen",39.9481792,-75.1435446,"","u'free'","True","",207,4.5
"Gojjo Bar & Restaurant",39.9487068,-75.2140963,"","","","",117,3.5
"Golden Gates",40.1219421,-75.0343338,"","","","",18,3.5
"Golf & Social",39.965831,-75.1327524,"","","","",111,2
"Good Dog Bar",39.948793,-75.1662055,"False","'free'","True","True",1319,4
"Great Wraps",39.9514394729,-75.167555809,"","","","",17,3
"Green Eggs Cafe",39.931348,-75.166497,"None","u'free'","","",844,4
"Green Eggs Cafe",39.9741163,-75.1821029,"","","","",95,3.5
"Green Eggs Café",39.9481225533,-75.1624631121,"","","","",2733,4
"Green Leaf Restaurant",39.9774795,-75.2663405,"","","","",19,3
"Green Rock Tavern",39.979663,-75.116168,"","","","",111,4.5
"Greg's Kitchen",40.0267886888,-75.2267333767,"","","","",347,4
"Hammerheads Bar & Grille",40.0374692,-75.0417837,"False","u'free'","False","",17,2.5
"Happy Joy Family Restaurant",39.9710521,-75.1582199,"True","'no'","","",22,4.5
"Hard Rock Cafe",39.9520316095,-75.1596930614,"","","","",388,3
"Harp & Crown",39.9504170438,-75.1664282754,"True","'free'","","",945,4
"Harper's Garden",39.9522045,-75.1695409,"","","","",529,4
"Harry the K's Broadcast Bar & Grille",39.9060572,-75.1664952,"","","","",28,2.5
"Hatch & Coop",39.9494667,-75.1605248,"False","u'no'","","",109,4
"Haute Restaurant & Lounge",39.9480917189,-75.1660279557,"","u'free'","False","",37,2.5
"Hawthornes Biercafé",39.9410364,-75.1608686,"","u'no'","True","",758,4
"Heffe",39.9731157,-75.1339186,"","","","",241,3
"Helium Comedy Club",39.9515214293,-75.1748099467,"","","","",359,3.5
"Helm",39.971548,-75.144505,"","","","",237,4.5
"Heritage",39.9645949,-75.1408296,"","","","",303,4
"High Street Philadelphia",39.949579,-75.1553831,"","","","",825,4
"High Street Provisions",39.9531172679,-75.1927020446,"None","'free'","True","True",15,2.5
"Hilton Garden Inn Philadelphia Center City",39.9535723,-75.1580853,"","","","",241,3
"Hinge Cafe",39.9792581,-75.1121554,"","","","",304,4.5
"His & Hers Restaurant & Bar",39.941124,-75.14629,"True","'free'","","",99,3
"Home Cuban Cafe",39.9508207,-75.1453145,"","","","",19,4.5
"Honey's Sit-N-Eat",39.96399,-75.1444822,"","","","",1444,4
"Hue Fusion Food Market",39.979339,-75.161205,"","","","",31,4.5
"IHOP",39.92134,-75.14514,"","","","",91,2.5
"IHOP",39.94911,-75.16309,"True","","","",170,3
"IHOP",39.99218,-75.09995,"","","","",44,2.5
"IHOP",40.03036,-75.10488,"","","","",61,2
"IHOP",40.0996149,-75.01003,"","","","",48,3
"Imperial Palace Chinese Restaurant",40.0435209,-75.1433762,"True","u'no'","","",12,4
"In the Valley",39.929453,-75.1636243,"","u'free'","","True",73,4
"Independence Beer Garden",39.9502943,-75.150981,"","","","",519,3.5
"Independence Prime",39.8745568189,-75.2437496274,"True","","","",109,3.5
"Interstate Drafthouse",39.97199,-75.128871,"","","","",264,4
"Ippolito's Seafood",39.9049727,-75.1588247,"","","","",106,4
"Iron Hill Brewery & Restaurant",39.9515764639,-75.1596684381,"","","","",332,4
"Iron Hill Brewery & Restaurant",40.0750694,-75.2055144,"False","'no'","","",403,3.5
"Ishkabibble's",39.9419643,-75.1513895,"","","","",192,3.5
"Izlas Latin Cuisine",39.992299,-75.135783,"","","","",15,4.5
"Iztaccihuatl",39.9352068,-75.1572477,"","","","",135,4
"J&J South Philly Pizza",39.9343749,-75.1587416,"","","","",161,2.5
"JD Mcgillicuddy's Manayunk",40.0255643503,-75.2222046729,"","","","",77,3
"JD's Soul Food Kitchen",39.9641219,-75.2043607,"","","True","",19,3
"JG SkyHigh",39.9552040814,-75.1709829249,"","","","",132,4
"Jack's Firehouse",39.9670823,-75.1733028,"","","","",580,3.5
"Jake's & Cooper's Wine Bar & Wine Shop",40.025925,-75.2241818,"True","","","",329,3.5
"Jamaica Way",39.903291,-75.2406365,"","","","",44,3
"Jamaican D's",40.0524287,-75.1580031,"True","u'free'","","",159,4
"Jamba",39.8946117,-75.2292952,"","","","",41,3
"Jansen",40.0627073,-75.1931822,"","","","",144,4.5
"Jean-Georges Philadelphia",39.954995,-75.170789,"","","","",118,4
"Jeisy Grilled Chicken",40.036142,-75.174734,"","","","",10,4
"Jerry's Bar",39.9651094,-75.1389069,"False","u'no'","True","False",442,3.5
"Jerry's Kitchen",39.957772,-75.188643,"","","","",36,4.5
"Jet Rock Bar & Grill",39.8755341584,-75.2380645706,"","","","",246,2
"Jet Wine Bar",39.94403,-75.16799,"","","","",171,4
"Jezabel's",39.954922,-75.2118705,"","","","",131,3.5
"Jim's South St",39.941498,-75.149272,"True","u'free'","","True",2769,3.5
"Jimmy's Timeout Sports Pub",40.0461605831,-74.9945482984,"True","","","",17,4
"Joe's Steaks + Soda Shop",39.969035,-75.134557,"","","","",397,4
"John's Roast Pork",39.9210273851,-75.1450284438,"","","","",1609,4.5
"Johnny Brenda's",39.9690922,-75.134266,"","u'no'","","",580,4
"Joseph's Pizza",40.076064,-75.084728,"","","","",79,2.5
"Junes Breakfast",39.9850064107,-75.246888042,"","u'free'","","",20,2.5
"Juno",39.9619437,-75.155644,"True","'free'","True","",186,4
"Just To Serve You",39.970433,-75.2334805,"","","","",120,2.5
"K'Far Cafe",39.951593,-75.172171,"","","","",369,4.5
"KQ Burger",39.9530044436,-75.1924658194,"","","","",19,2.5
"Kanella Grill",39.9463188,-75.1579609,"True","u'no'","True","False",249,4
"Keating's Rope & Anchor",39.9457341,-75.1413125,"False","","","",73,3
"Kelliann's Bar & Grill",39.9630941,-75.1645294,"","","","",115,4
"Ken Love's BYOB",39.9624259,-75.1429291,"True","","","",178,4.5
"Kensington Quarters",39.9705028,-75.1346993,"","","","",327,4
"Khyber Pass Pub",39.9486423,-75.1441173,"True","u'free'","True","True",885,4
"Kick Axe Throwing",39.9499062,-75.1450579,"","u'free'","False","",101,4.5
"Kif's Sports Bar and Hookah Lounge",39.9621917,-75.2443677,"True","","","",25,3.5
"King Food",39.9158557,-75.1524261,"","","","",15,4
"Kite & Key",39.960395,-75.169675,"","","","",455,3.5
"Kitty's Luncheonette",39.9788544,-75.1110948,"","u'free'","","",31,4.5
"Knock",39.9478650629,-75.1606399648,"","","True","",165,3.5
"LOVE Grille",39.8750348517,-75.2438501468,"","","","",73,3
"La Bourse at Hotel Sofitel",39.9509482,-75.1695409,"","","","",14,3.5
"La Calenita Bakery Cafe",40.0281597,-75.1325853,"","","","",22,4
"La Casa Del Mofongo",40.022133,-75.13389,"","u'free'","True","True",12,3
"La Cocina del Cafe",39.9316737,-75.1684579,"False","'no'","","",25,5
"La Mula Terca",39.9260794,-75.1820459,"True","u'free'","","",93,4.5
"La Peg",39.9534524019,-75.1404362747,"","","","",257,3.5
"La Sushi",39.9701516,-75.1488375,"","","","",28,4
"La Tapenade Mediterranean Cafe",39.876361,-75.247045,"","","","",36,2
"Lacroix Restaurant at The Rittenhouse",39.9499125,-75.1736448,"True","u'free'","","",455,4.5
"Ladder 15",39.9502786,-75.1669645,"","","","",323,3
"Landmark Americana Tap & Grill - City Line",39.9960138239,-75.234246254,"","","","",136,2.5
"Landmark Americana Tap & Grill - University City",39.9559586568,-75.1906506718,"","","","",407,3
"Las Cazuelas Restaurant BYOB",39.9698623,-75.1439919,"","","","",345,4
"Last Drop",39.9451009,-75.1630885,"False","u'free'","","",214,3
"Laurel",39.9294148,-75.1637155,"None","","","",332,4.5
"Lazos Pizza & Grill",39.9727751034,-75.1789870874,"","","","",181,4
"LeBus East Falls",40.0088924745,-75.1937016472,"","","","",208,3.5
"Libertine Restauraunt",39.9468905,-75.1623567,"","'no'","","True",119,4
"Liberty Bell Diner",40.044553,-75.017575,"","","","",162,3.5
"Little Pete's Restaurant",39.967082,-75.177485,"","","","",150,4
"Little Sicily 2",39.926519,-75.14569,"","","","",259,4.5
"Live Casino Hotel",39.9091912,-75.1646617,"True","'no'","","",10,2.5
"Lloyd Whiskey Bar",39.9713575331,-75.127588677,"","","","",218,4
"Local 44",39.952821,-75.210442,"","","","",525,3.5
"Local Tavern",39.8951784,-75.2279726,"","","","",282,2.5
"Loco Lucho's Latino Kitchen",39.9531593,-75.1590984,"True","u'free'","True","",40,3.5
"LongHorn Steakhouse",39.9194120965,-75.1411938987,"","","","",162,2.5
"LongHorn Steakhouse",40.0844101,-75.0240676748,"","","","",130,2.5
"Los Potrillos",40.0123759,-75.1124633,"True","'no'","","",17,4
"Lou Bird's",39.945722875,-75.1750066504,"","","","",165,4
"Louie Louie",39.9532791038,-75.1955875611,"","","True","",278,4
"Love & Honey Fried Chicken",39.9674815,-75.136957,"","","","",420,4.5
"Love Park Pizza and Chicken",39.9667319342,-75.1605951414,"","","","",55,3
"Lucky 13 Pub",39.9271637,-75.1671282,"","u'free'","","",131,4
"Lucky Strike - Philadelphia",39.950671,-75.1633942,"","'no'","","",316,3
"Luna Café",39.9504011,-75.1463684,"","","False","",452,4
"Luna Café & Provisions",39.9766134455,-75.1408450305,"","","","",47,4
"Lyn's",39.950743692,-75.1956453556,"","","","",91,4.5
"M2O Burgers & Salads",39.9403662,-75.1508793,"","","","",113,4
"Mac Mart",39.9514489,-75.1705213,"False","u'free'","","True",333,4
"Mac Mart Food Truck",39.9514489,-75.1705213,"","","","",83,4
"Mac's Tavern",39.949794,-75.144739,"","","","",457,3.5
"Mace's Crossing",39.9559201,-75.1683168,"","u'no'","True","",125,3
"Maggie's Waterfront Cafe",40.0434234376,-74.9895148466,"","","","",237,3.5
"Malelani  Cafe",40.0529533,-75.1861048,"","","","",146,4.5
"Manayunk Brewery",40.022471,-75.2188,"","","","",711,3.5
"Manayunk Tavern",40.0245962,-75.221131,"None","","","",181,4
"Marathon",39.9504833638,-75.1673305865,"False","u'no'","True","False",604,3.5
"Marathon On the Square",39.9481101,-75.1726188,"","","","",275,3.5
"Marmont Steakhouse & Bar",39.9497397,-75.1445806,"True","u'no'","True","",326,3.5
"Martha",39.9822216,-75.1281087,"","","","",157,4
"Max Brenner - Philadelphia",39.9491000076,-75.1661748827,"","","","",1382,3.5
"Maxi's Pizza, Subs and Bar",39.98221,-75.155986,"","","","",85,3.5
"McCormick & Schmick's Seafood & Steaks",39.951353,-75.1634754,"","","","",390,2.5
"McCrossen's Tavern",39.9630919,-75.1709203,"","","","",314,4
"McDonald's",40.0740661358,-75.0843798264,"","","","",14,2
"McGillin's Olde Ale House",39.950168,-75.162607,"","","","",1003,4
"McMenamin's Tavern",40.059745,-75.1908537,"","","","",230,4
"McNally's Tavern",40.0771023,-75.2088726,"","","","",247,4.5
"Mediterra Grill",39.9887627,-75.249793,"False","u'free'","True","",38,3.5
"Memphis Market & Grill",39.9817082,-75.1208943,"True","u'free'","True","",23,4.5
"Memphis Taproom",39.9803676,-75.1230344,"","","","",721,4
"Mercer Cafe",39.9864461,-75.1006826,"","","","",94,4
"Messina Club",39.9297638,-75.1614432,"","","","",14,4.5
"Middle Child Clubhouse",39.969978035,-75.1359988205,"False","'no'","","False",18,4.5
"Midnight Iris",39.945245,-75.170511,"","","","",58,4.5
"Mifflin Tavern",39.9243899,-75.1499253,"None","u'free'","","",49,4.5
"Mighty Melt",39.949773,-75.148073,"True","u'free'","True","False",38,4
"Milan's Restaurant",40.0216770872,-75.126149148,"","","","",10,4
"Milano's Pizzeria and Grill",39.9489898682,-75.1570663452,"","","","",43,3
"Miles Table",39.9249137,-75.1601514,"False","u'free'","","True",14,4.5
"Miles Table",39.944043,-75.1695127,"","","","",530,4.5
"MilkBoy",39.950125,-75.1587931,"","","","",395,3.5
"Milkhouse",39.9557799,-75.1819683,"","","","",41,2.5
"Miller's Ale House",39.920208058,-75.1417470431,"","","","",143,3.5
"Miller's Ale House",40.0798351,-75.0285769,"","","","",257,3
"Millie's Burgers, Steaks & Shakes",39.9185228,-75.1725846,"","","","",71,2.5
"Milo - The Meeting House",40.0601522,-75.1907202,"True","u'free'","True","",24,3.5
"Misconduct Tavern",39.9486272,-75.1666356,"None","","True","",409,3.5
"Misconduct Tavern",39.954395,-75.169849,"","","","",131,3
"Mission BBQ",40.1005522045,-75.0092536759,"","","","",249,4
"Mix Bar and Grill",39.9524435,-75.1757574,"","","","",30,3
"Mixto",39.945195,-75.161082,"","","","",1295,4
"Molly Malloy's",39.9531200778,-75.1589835418,"","","","",346,4
"Monte Cristo",39.9876355,-75.105178,"","u'free'","","",17,2.5
"Moonlight Cuisine",40.0583688,-75.1528507,"","","","",29,3.5
"Morea",39.9498058,-75.158806,"","","","",45,4
"Morgan's Pier",39.9549030181,-75.1389125268,"True","","","",724,3
"Moriarty's Restaurant and Irish Pub",39.9485658,-75.1598508,"False","u'no'","","",645,3.5
"Morimoto",39.9496652299,-75.1532727008,"","","","",1943,4.5
"Moshulu",39.942335482,-75.1413081,"True","u'free'","","",894,3.5
"Mount Airy Tap Room",40.0539009,-75.1941853,"","","","",52,4.5
"Mt Airy Breakfast & Lunch",40.0521915,-75.185537,"","","","",60,4
"Mui Chung",39.9367681,-75.1665655,"","","","",17,3
"Munchie's Cafe",39.9495009,-75.1536808,"","","","",73,3.5
